Handle,Title,Body (HTML),Vendor,Product Category,Image Src,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
monociclo-electrico-de-autoequilibrio,Monociclo Eléctrico de Autoequilibrio,Navega por la ciudad con estilo en nuestro monociclo eléctrico de autoequilibrio. Movimiento suave y control intuitivo.,Future World,,https://i.imgur.com/cncoWWV.jpg,,Movilidad Eléctrica y Vehículos Autónomos,TRUE,Title,,,,,,,,,10,deny,manual,39.37,,TRUE,TRUE,,,,,,Navega por la ciudad con estilo en nuestro monociclo eléctrico de autoequilibrio. Movimiento suave y control intuitivo.,,,,,,,,,,,,,,,,,,,,active
mascara-rejuvenecedora-instantanea,Máscara Rejuvenecedora Instantánea,Rejuvenece tu piel al instante con nuestra máscara de belleza de última generación. Reduce arrugas y mejora la elasticidad de la piel en minutos.,Future World,,https://i.imgur.com/TEcvsje.jpg,,Salud y Bienestar Tecnológico,TRUE,Title,,,,,,,,,10,deny,manual,40.97,50.29,TRUE,TRUE,,,,,,Rejuvenece tu piel al instante con nuestra máscara de belleza de última generación. Reduce arrugas y mejora la elasticidad de la piel en minutos.,,,,,,,,,,,,,,,,,,,,active
regenerador-muscular,Regenerador Muscular,Alivia la fatiga muscular y acelera la recuperación con nuestro regenerador muscular. Ideal para atletas y personas activas.,Future World,,https://i.imgur.com/6ivp3De.jpg,,Salud y Bienestar Tecnológico,TRUE,Title,,,,,,,,,10,deny,manual,42.57,52.99,TRUE,TRUE,,,,,,Alivia la fatiga muscular y acelera la recuperación con nuestro regenerador muscular. Ideal para atletas y personas activas.,,,,,,,,,,,,,,,,,,,,active
transformador-morfologico-facial,Transformador Morfológico Facial,Experimenta la transformación de tu rostro con nuestro transformador morfológico facial. Maquillaje y efectos especiales de otro nivel.,Future World,,https://i.imgur.com/utW8iEw.jpg,,Salud y Bienestar Tecnológico,TRUE,Title,,,,,,,,,10,deny,manual,44.17,55.69,TRUE,TRUE,,,,,,Experimenta la transformación de tu rostro con nuestro transformador morfológico facial. Maquillaje y efectos especiales de otro nivel.,,,,,,,,,,,,,,,,,,,,active
paneles-solares-cristalinos,Paneles Solares Cristalinos,Genera energía limpia y sostenible con nuestros paneles solares cristalinos. Perfectos para tu hogar o negocio.,Future World,,https://i.imgur.com/ChntT0T.jpg,,Energía Renovable y Sostenibilidad,TRUE,Title,,,,,,,,,10,deny,manual,45.76,58.39,TRUE,TRUE,,,,,,Genera energía limpia y sostenible con nuestros paneles solares cristalinos. Perfectos para tu hogar o negocio.,,,,,,,,,,,,,,,,,,,,active
compostador-autonomo,Compostador Autónomo,Reduce los residuos y convierte tus desechos orgánicos en abono con nuestro compostador autónomo. Fácil y ecológico.,Future World,,https://i.imgur.com/ghnit4O.jpg,,Energía Renovable y Sostenibilidad,TRUE,Title,,,,,,,,,10,deny,manual,47.36,,TRUE,TRUE,,,,,,Reduce los residuos y convierte tus desechos orgánicos en abono con nuestro compostador autónomo. Fácil y ecológico.,,,,,,,,,,,,,,,,,,,,active
smart-socks,Smart Socks,Mantén un seguimiento detallado de tu rendimiento físico con nuestros 'smart socks' que registran datos sobre tu pisada y movimiento.,Future World,,https://i.imgur.com/ABFSNeo.jpg,,Vestimenta Inteligente y Wearables de Moda,TRUE,Title,,,,,,,,,10,deny,manual,48.96,61.09,TRUE,TRUE,,,,,,Mantén un seguimiento detallado de tu rendimiento físico con nuestros 'smart socks' que registran datos sobre tu pisada y movimiento.,,,,,,,,,,,,,,,,,,,,active
pulsera-eternal-health,Pulsera Eternal Health,Tu salud y bienestar son lo primero con nuestra pulsera Eternal Health. Controla tus signos vitales y recibe recomendaciones personalizadas.,Future World,,https://i.imgur.com/vtxI77V.jpg,,Vestimenta Inteligente y Wearables de Moda,TRUE,Title,,,,,,,,,10,deny,manual,50.56,63.79,TRUE,TRUE,,,,,,Tu salud y bienestar son lo primero con nuestra pulsera Eternal Health. Controla tus signos vitales y recibe recomendaciones personalizadas.,,,,,,,,,,,,,,,,,,,,active
zapatillas-deportivas-inteligentes,Zapatillas Deportivas Inteligentes,Supera tus límites en el deporte con nuestras zapatillas deportivas inteligentes que registran métricas de rendimiento y brindan retroalimentación en tiempo real.,Future World,,https://i.imgur.com/WyOuIma.jpg,,Vestimenta Inteligente y Wearables de Moda,TRUE,Title,,,,,,,,,10,deny,manual,52.16,66.49,TRUE,TRUE,,,,,,Supera tus límites en el deporte con nuestras zapatillas deportivas inteligentes que registran métricas de rendimiento y brindan retroalimentación en tiempo real.,,,,,,,,,,,,,,,,,,,,active
traje-de-buzo-de-alta-profundidad,Traje de Buzo de Alta Profundidad,Explora las profundidades del océano con nuestro traje de buzo de alta profundidad. Diseñado para aventureros submarinos y exploradores.,Future World,,https://i.imgur.com/rldXbjA.jpg,,Vestimenta Inteligente y Wearables de Moda,TRUE,Title,,,,,,,,,10,deny,manual,53.75,69.19,TRUE,TRUE,,,,,,Explora las profundidades del océano con nuestro traje de buzo de alta profundidad. Diseñado para aventureros submarinos y exploradores.,,,,,,,,,,,,,,,,,,,,active
